epoch,accuracy,loss,val_accuracy,val_loss
0,0.8812562227249146,7.029773712158203,0.9069841504096985,1.6494195461273193
1,0.8942148685455322,0.8372820019721985,0.9306349158287048,0.8682563900947571
2,0.8947768807411194,0.4819115400314331,0.9171428680419922,0.7631480097770691
3,0.8981156945228577,0.3371288776397705,0.9277777671813965,0.29844433069229126
4,0.9054545164108276,0.2750219404697418,0.8771428465843201,1.5286651849746704
5,0.9100165367126465,0.25921374559402466,0.9285714030265808,0.37187060713768005
6,0.9155371785163879,0.23919306695461273,0.9398412704467773,0.1997341513633728
7,0.9144793152809143,0.35507863759994507,0.918571412563324,0.3986421525478363
8,0.9195041060447693,0.2197410613298416,0.9458730220794678,0.24075543880462646
9,0.9237685799598694,0.20448912680149078,0.9520635008811951,0.16853444278240204
10,0.9324297308921814,0.17905934154987335,0.9241269826889038,0.5103201866149902
11,0.9376198053359985,0.17071588337421417,0.8676190376281738,1.989475131034851
12,0.9406942129135132,0.16479383409023285,0.9247618913650513,0.4451972246170044
13,0.9338512420654297,0.2069542407989502,0.8247619271278381,6.4684367179870605
14,0.9411570429801941,0.15451820194721222,0.9347618818283081,0.31768420338630676
