,precision,recall,f1-score,support
nowildfire,0.9412173913043478,0.9595744680851064,0.9503072870939421,2820.0
wildfire,0.9667153284671532,0.9514367816091954,0.9590152063721941,3480.0
accuracy,0.9550793650793651,0.9550793650793651,0.9550793650793651,0.9550793650793651
macro avg,0.9539663598857505,0.955505624847151,0.9546612467330681,6300.0
weighted avg,0.9553019661180879,0.9550793650793651,0.9551173758381194,6300.0
