epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.33603685969557645,0.15803839503299622,0.8641322314049587,0.9426984126984127,3.9999999999999996e-05
2,0.25920016023245723,0.16847899325132842,0.9001652892561983,0.9346031746031747,0.00028007675159480005
3,0.24011047808591984,0.13430450539740305,0.9077685950413223,0.95,0.0007601534786445696
4,0.21213181297591896,0.1465021360369902,0.9210247933884298,0.947936507936508,0.0009999999990534852
5,0.1949772784330628,0.12780227795716315,0.928099173553719,0.9534920634920635,0.0009966156198068935
6,0.17728870404173028,0.10831132899703724,0.9344132231404959,0.9623809523809523,0.0009865153932850758
7,0.16419278572684476,0.10081648342873133,0.9403305785123967,0.9666666666666667,0.000969835907724964
8,0.1525286941879298,0.09445483066141605,0.9426776859504132,0.9671428571428572,0.00094680272455537
9,0.14291640092490995,0.08514294427065622,0.9476694214876034,0.9709523809523809,0.0009177273280656076
10,0.1392066816823049,0.08092097267863296,0.9498842975206612,0.9720634920634921,0.000883002913114827
11,0.13008404700648932,0.09271222576912906,0.952892561983471,0.9655555555555555,0.0008430990678460632
12,0.12568718622261582,0.07145045200214972,0.9536859504132231,0.976031746031746,0.0007985554233121726
13,0.11915243007021009,0.0798389118272693,0.9571239669421487,0.9736507936507937,0.0007499743558915717
14,0.1155283470036816,0.07638562281113413,0.9587438016528925,0.9726984126984127,0.0006980128411810857
15,0.10961809328986594,0.07417198988535101,0.960297520661157,0.9731746031746031,0.0006433735695280328
16,0.10404587081770512,0.06318694408096018,0.9629090909090909,0.9779365079365079,0.0005867954433487305
17,0.10159195020351529,0.06639574103811312,0.9634049586776859,0.976031746031746,0.00052904358474089
18,0.09843660868113198,0.061711610603545394,0.9651239669421487,0.9792063492063492,0.0004708989885197998
19,0.09132180473220743,0.06370560865760559,0.9669421487603306,0.9771428571428571,0.00041314796060323215
20,0.09126168939437379,0.060113126730162,0.9671404958677686,0.9782539682539683,0.0003565714845728005
21,0.08564971036063738,0.054294342603977946,0.9698181818181818,0.9803174603174604,0.0003019346602107839
22,0.08399310900738909,0.054331269878154946,0.9697190082644628,0.9806349206349206,0.0002499763568380866
23,0.08266010473964136,0.061259741095441675,0.9704462809917356,0.9793650793650793,0.00020139922137419244
24,0.08061694486519276,0.05407602174813667,0.9709752066115702,0.9807936507936508,0.00015686017624295695
25,0.07657755006843608,0.054616357264005475,0.9722644628099174,0.9806349206349206,0.00011696153562376655
26,0.07446379980882091,0.05440970750599508,0.9731900826446281,0.9811111111111112,8.22428601855201e-05
27,0.07538270733410046,0.052736407560592016,0.9728264462809917,0.9814285714285714,5.317366045419223e-05
28,0.07516984500917645,0.052728072727572114,0.9729586776859505,0.9804761904761905,3.014704748840484e-05
29,0.07230753269597642,0.05273131509355846,0.9738181818181818,0.9812698412698413,1.3474416726737177e-05
30,0.0735088196366656,0.055014618630447085,0.9738181818181818,0.9807936507936508,3.3812368986111446e-06
